,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
3596,24774,Kepler-712 c,Kepler-712,1,2,0.72,0.1,-0.1,0.0,0.82,0.03,-0.03,0.0
3597,24784,Kepler-713 b,Kepler-713,1,1,1.08,,,0.0,1.05,,,0.0
3598,24794,Kepler-714 b,Kepler-714,1,1,1.06,0.54,-0.1,0.0,1.15,0.24,-0.16,0.0
3599,24804,Kepler-715 b,Kepler-715,1,1,1.17,,,0.0,1.06,,,0.0
3600,24814,Kepler-716 b,Kepler-716,1,2,0.74,,,0.0,0.83,,,0.0
3601,24824,Kepler-716 c,Kepler-716,1,2,0.89,0.05,-0.08,0.0,0.82,0.05,-0.03,0.0
3602,24831,Kepler-717 b,Kepler-717,1,1,0.96,0.37,-0.1,0.0,0.97,0.12,-0.12,0.0
3603,24840,Kepler-718 b,Kepler-718,1,1,1.17,,,0.0,1.03,,,0.0
3604,24850,Kepler-719 b,Kepler-719,1,1,0.83,0.32,-0.07,0.0,0.92,0.1,-0.1,0.0
3605,24858,Kepler-720 b,Kepler-720,1,1,1.21,0.46,-0.26,0.0,0.94,0.12,-0.07,0.0
3606,24868,Kepler-721 b,Kepler-721,1,1,0.9,,,0.0,0.81,,,0.0
3607,24878,Kepler-722 b,Kepler-722,1,2,1.05,0.28,-0.11,0.0,1.03,0.07,-0.07,0.0
3608,24887,Kepler-722 c,Kepler-722,1,2,1.0,0.32,-0.09,0.0,1.08,0.15,-0.13,0.0
3609,24897,Kepler-723 b,Kepler-723,1,1,0.8,0.32,-0.06,0.0,0.87,0.1,-0.08,0.0
3610,24905,Kepler-724 b,Kepler-724,1,1,0.92,,,0.0,0.91,,,0.0
3611,24915,Kepler-725 b,Kepler-725,1,1,0.81,0.04,-0.04,0.0,,,,
3612,24924,Kepler-726 b,Kepler-726,1,1,0.81,0.17,-0.17,0.0,0.91,0.03,-0.03,0.0
3613,24934,Kepler-727 b,Kepler-727,1,1,0.88,0.36,-0.1,0.0,0.82,0.13,-0.06,0.0
3614,24943,Kepler-728 b,Kepler-728,1,1,1.32,0.12,-0.11,0.0,,,,
3615,24953,Kepler-729 b,Kepler-729,1,1,1.0,0.41,-0.09,0.0,1.07,0.19,-0.14,0.0
3616,24963,Kepler-730 b,Kepler-730,1,2,1.38,,,0.0,1.0,,,0.0
3617,24974,Kepler-730 c,Kepler-730,1,2,1.11,0.38,-0.15,0.0,1.16,0.16,-0.16,0.0
3618,24977,Kepler-731 b,Kepler-731,1,1,1.05,0.29,-0.1,0.0,1.15,0.12,-0.15,0.0
3619,24987,Kepler-732 b,Kepler-732,1,2,0.44,0.06,-0.06,0.0,0.46,0.06,-0.06,0.0
3620,24997,Kepler-732 c,Kepler-732,1,2,0.52,0.02,-0.02,0.0,0.52,0.02,-0.02,0.0
3621,25007,Kepler-733 b,Kepler-733,1,1,0.88,0.22,-0.07,0.0,1.0,0.07,-0.12,0.0
3622,25016,Kepler-734 b,Kepler-734,1,1,0.87,1.64,-0.23,0.0,0.84,0.14,-0.18,0.0
3623,25026,Kepler-735 b,Kepler-735,1,1,0.76,,,0.0,0.81,,,0.0
3624,25036,Kepler-736 b,Kepler-736,1,1,0.86,,,0.0,0.85,,,0.0
