,pl_name,sy_snum,sy_pnum,st_mass
550,HD 142415 b,1,1,1.07
551,HD 143105 b,1,1,1.51
552,HD 143361 b,1,1,0.97
553,HD 145377 b,1,1,1.2
554,HD 145457 b,1,1,1.23
555,HD 145675 c,1,2,0.97
556,HD 145934 b,1,1,1.81
557,HD 1461 b,1,2,1.03
558,HD 1461 c,1,2,1.02
559,HD 147018 b,1,2,0.93
560,HD 147018 c,1,2,0.93
561,HD 147379 b,2,1,0.58
562,HD 147513 b,2,1,1.11
563,HD 14787 b,1,1,1.43
564,HD 147873 b,2,2,1.38
565,HD 147873 c,2,2,1.38
566,HD 148156 b,1,1,1.22
567,HD 148164 b,1,2,1.21
568,HD 148164 c,1,2,1.21
569,HD 148427 b,1,1,1.64
570,HD 149026 b,1,1,1.42
571,HD 149143 b,1,1,1.2
572,HD 1502 b,1,1,1.46
573,HD 150706 b,1,1,1.17
574,HD 152079 b,1,1,1.15
575,HD 152581 b,1,1,1.3
576,HD 152843 b,1,2,
577,HD 152843 c,1,2,1.15
578,HD 15337 b,1,2,0.9
579,HD 15337 c,1,2,0.85
580,HD 153950 b,1,1,1.25
581,HD 154345 b,1,1,0.95
582,HD 154672 b,1,1,1.08
583,HD 154857 b,1,2,1.72
584,HD 154857 c,1,2,1.72
585,HD 155193 b,1,1,1.22
586,HD 155233 b,2,1,1.5
587,HD 155358 b,1,2,0.92
588,HD 155358 c,1,2,0.92
589,HD 156279 b,1,2,0.93
590,HD 156279 c,1,2,0.93
591,HD 156411 b,1,1,1.25
592,HD 156668 b,1,2,0.77
593,HD 156668 c,1,2,0.79
594,HD 156846 b,2,1,1.35
595,HD 158038 b,1,1,1.65
596,HD 158259 b,1,5,
597,HD 158259 c,1,5,1.08
598,HD 158259 d,1,5,1.08
599,HD 158259 e,1,5,1.08
600,HD 158259 f,1,5,1.08
601,HD 158996 b,1,1,1.8
602,HD 159243 b,1,2,1.12
603,HD 159243 c,1,2,1.12
604,HD 159868 b,1,2,1.42
605,HD 159868 c,1,2,1.19
606,HD 1605 b,1,2,1.31
607,HD 1605 c,1,2,1.31
608,HD 160691 b,1,4,1.08
609,HD 160691 c,1,4,1.03
610,HD 160691 d,1,4,1.08
611,HD 160691 e,1,4,1.08
612,HD 16141 b,2,1,1.12
613,HD 16175 b,1,1,1.63
614,HD 162020 b,1,1,0.75
615,HD 163607 b,1,2,1.09
616,HD 163607 c,1,2,1.12
617,HD 16417 b,2,1,1.2
618,HD 164509 b,2,1,1.13
619,HD 164595 b,2,1,0.99
620,HD 164604 b,1,1,0.77
621,HD 164922 b,1,4,0.76
622,HD 164922 c,1,4,0.92
623,HD 164922 d,1,4,0.92
624,HD 164922 e,1,4,0.92
625,HD 165155 b,1,1,1.02
626,HD 1666 b,1,1,1.5
627,HD 166724 b,1,1,0.81
628,HD 167042 b,1,1,1.72
629,HD 168009 b,1,1,0.99
630,HD 168443 b,1,2,0.98
631,HD 168443 c,1,2,
632,HD 168746 b,1,1,0.93
633,HD 1690 b,1,1,1.86
634,HD 169830 b,1,2,1.4
635,HD 169830 c,1,2,1.41
636,HD 170469 b,2,1,1.14
637,HD 17092 b,1,1,6.73
638,HD 171028 b,1,1,
639,HD 171238 b,1,1,0.94
640,HD 17156 b,1,1,1.23
641,HD 173416 b,1,1,2.0
642,HD 175167 b,1,1,1.1
643,HD 175541 b,1,1,2.12
644,HD 175607 b,1,1,0.71
645,HD 17674 b,1,1,0.98
646,HD 176986 b,1,2,0.79
647,HD 176986 c,1,2,0.79
648,HD 177565 b,1,1,1.0
649,HD 177830 b,2,2,
650,HD 177830 c,2,2,1.32
651,HD 178911 B b,3,1,1.01
652,HD 179079 b,1,1,1.53
653,HD 179949 b,1,1,
654,HD 180053 b,1,1,1.75
655,HD 18015 b,1,1,1.49
656,HD 180314 b,1,1,2.6
657,HD 180617 b,2,1,0.48
658,HD 180902 b,2,1,1.52
659,HD 181234 b,1,1,0.97
660,HD 181342 b,1,1,1.89
661,HD 181433 b,1,3,0.78
662,HD 181433 c,1,3,0.78
663,HD 181433 d,1,3,0.78
664,HD 181720 b,1,1,0.92
665,HD 183263 b,1,2,1.17
666,HD 183263 c,1,2,1.06
667,HD 183579 b,1,1,1.03
668,HD 185269 b,3,1,1.3
669,HD 187085 b,1,1,1.19
670,HD 187123 b,1,2,1.0
671,HD 187123 c,1,2,1.04
672,HD 18742 b,1,1,2.58
673,HD 188015 b,2,1,1.09
674,HD 189733 b,2,1,0.84
675,HD 190007 b,1,1,0.77
676,HD 190360 b,2,2,0.96
677,HD 190360 c,2,2,0.98
678,HD 190647 b,1,1,1.14
679,HD 190984 b,1,1,0.91
680,HD 191806 b,1,1,1.14
681,HD 191939 b,1,3,
682,HD 191939 c,1,3,0.92
683,HD 191939 d,1,3,0.92
684,HD 192263 b,1,1,
685,HD 192310 b,1,2,0.8
686,HD 192310 c,1,2,0.8
687,HD 192699 b,1,1,1.61
688,HD 195019 b,2,1,1.06
689,HD 196050 b,3,1,1.13
690,HD 196067 b,2,1,1.29
691,HD 196885 A b,2,1,1.33
692,HD 197037 b,2,1,1.11
693,HD 19994 b,3,1,1.34
694,HD 20003 b,1,2,0.88
695,HD 20003 c,1,2,0.88
696,HD 200964 b,1,2,1.39
697,HD 200964 c,1,2,1.44
698,HD 202206 c,2,1,
699,HD 202696 b,1,2,1.91
700,HD 202696 c,1,2,1.91
701,HD 202772 A b,2,1,
702,HD 203030 b,1,1,
703,HD 203473 b,1,1,1.12
704,HD 2039 b,1,1,0.98
705,HD 204313 b,1,2,1.02
706,HD 204313 c,1,2,1.02
707,HD 204941 b,2,1,0.74
708,HD 205739 b,1,1,1.22
709,HD 206255 b,1,1,1.42
710,HD 206610 b,1,1,1.93
711,HD 20781 b,2,5,0.7
712,HD 20781 c,2,5,0.7
713,HD 20781 d,2,5,0.7
714,HD 20781 e,2,5,0.7
715,HD 20782 b,2,5,1.04
716,HD 207832 b,3,2,1.02
717,HD 207832 c,3,2,0.94
718,HD 20794 b,1,4,0.7
719,HD 20794 c,1,4,0.81
720,HD 20794 d,1,4,0.7
721,HD 20794 e,1,4,0.81
722,HD 208487 b,1,1,0.95
723,HD 208527 b,1,1,1.6
724,HD 20868 b,1,1,0.78
