167_01.tab      2 00:06:00 0.007 HD28099       13.5       2.95 4.5
1680_01.tab     2 00:30:00 0.007 HD28099       16.3       2.73 4.5
168_01.tab      2 00:06:00 0.007 HD28099       13.0       3.53 4.5
1692_01.tab     2 00:30:00 0.007 HD101177      16.5       3.03 4.5
1695_01.tab     3 00:45:00 0.007 HD186427      17.0       2.78 4.5
169_01.tab      2 00:10:00 0.007 HD28099       13.5       2.49 4.5
16_01.tab       4 00:01:00 0.007 HD101177      10.3       3.21 4.5
1702_01.tab     2 00:30:00 0.007 HD186427      15.6       2.85 4.5
1705_01.tab     1 00:15:00 0.007 HD28099       15.1       2.07 4.5
1706_01.tab     2 00:30:00 0.007 HD28099       16.0       2.28 4.5
170_01.tab      3 00:09:00 0.007 HD28099       13.5       2.43 4.5
1715_01.tab     2 00:30:00 0.007 HD28099       15.8       2.62 4.5
1716_00.tab     3 00:45:00 0.007 HD28099       16.2       2.95 4.5
171_00.tab      6 00:05:40 0.007 N/A      -999999.9       2.76 4.5
1724_00.tab     5 01:15:00 0.007 HD186427      16.3       2.80 4.5
1726_00.tab     4 01:00:00 0.007 N/A      -999999.9 -999999.9  4.5
1729_01.tab     2 00:30:00 0.007 HD28099       15.9       2.45 4.5
172_01.tab      3 00:06:00 0.007 HD28099       12.9       2.63 4.5
1730_01.tab     2 00:30:00 0.007 HD101177      16.5       3.32 4.5
1734_01.tab     2 00:20:00 0.007 HD28099       15.6       2.41 4.5
1738_01.tab     2 00:30:00 0.007 HD186427      15.5       2.46 4.5
173_00.tab      4 00:10:00 0.007 HD101177 -999999.9 -999999.9  4.5
1747_01.tab     3 00:45:00 0.007 HD28099       16.7       1.84 4.5
17480_01.tab    2 00:30:00 0.007 HD28099       16.9       2.32 4.5
174_01.tab      2 00:30:00 0.007 HD186427      14.0       2.98 4.5
1751_01.tab     2 00:20:00 0.007 HD28099       16.2       2.55 4.5
175_01.tab      2 00:16:00 0.007 HD101177      14.3       3.63 4.5
1766_00.tab     4 01:00:00 0.007 HD28099  -999999.9 -999999.9  4.5
1768_01.tab     1 00:10:00 0.007 HD101177      17.0       2.76 4.5
176_01.tab      2 00:10:00 0.007 HD186427      13.5       3.28 4.5
1777_01.tab     3 00:45:00 0.007 HD186427      15.0       2.65 4.5
177_01.tab      2 00:15:00 0.007 HD28099       14.3       3.24 4.5
1783_01.tab     2 00:30:00 0.007 HD28099       15.4       2.55 4.5
1785_01.tab     2 00:30:00 0.007 HD186427      16.1       2.37 4.5
178_01.tab      3 00:06:00 0.007 HD28099       13.1       2.57 4.5
1795_01.tab     2 00:30:00 0.007 HD186427      15.5       2.52 4.5
1796_01.tab     2 00:20:00 0.007 HD186427      14.8       3.20 4.5
1797_01.tab     1 00:10:00 0.007 HD101177      14.9       2.29 4.5
1798_00.tab     4 01:00:00 0.007 HD28099  -999999.9       1.95 4.5
1799_01.tab     2 00:30:00 0.007 HD28099       14.9       2.73 4.5
179_01.tab      3 00:02:15 0.007 HD28099       12.0       2.87 4.5
17_01.tab       2 00:03:20 0.007 HD186427      11.8       2.47 4.5
1807_01.tab     2 00:30:00 0.007 HD186427      15.0       2.44 4.5
180_01.tab      2 00:06:00 0.007 HD28099       13.3       2.37 4.5
181_01.tab      2 00:04:00 0.007 HD186427      13.1       3.45 4.5
182_01.tab      2 00:06:00 0.007 HD101177      13.3       2.29 4.5
1830_01.tab     2 00:30:00 0.007 HD28099       15.8       2.08 4.5
1831_01.tab     2 00:30:00 0.007 HD186427      16.5       2.46 4.5
1836_01.tab     2 00:30:00 0.007 HD28099       16.1       3.03 4.5
1839_01.tab     2 00:30:00 0.007 HD186427      16.5       2.45 4.5
183_01.tab      3 00:45:00 0.007 HD186427      15.5       3.76 4.5
1847_01.tab     2 00:30:00 0.007 HD28099       14.8       2.63 4.5
1848_01.tab     2 00:30:00 0.007 HD101177      15.3       2.83 4.5
184_01.tab      2 00:06:00 0.007 HD28099       12.7       2.97 4.5
18514_01.tab    3 00:45:00 0.007 HD28099       17.0       1.49 4.5
1856_01.tab     2 00:30:00 0.007 HD28099       15.8       2.41 4.5
1857_00.tab     4 01:00:00 0.007 HD186427 -999999.9       2.54 4.5
1858_01.tab     2 00:20:00 0.007 HD101177      15.3       2.83 4.5
185_01.tab      3 00:15:00 0.007 HD186427      12.7       3.07 4.5
1860_01.tab     3 00:22:30 0.007 HD186427      14.4       2.11 4.5
186_01.tab      3 00:09:00 0.007 HD186427      14.0       2.70 4.5
187_01.tab      2 00:20:00 0.007 HD28099       14.2       3.38 4.5
1882_01.tab     2 00:30:00 0.007 HD186427      16.2       2.95 4.5
1888_01.tab     2 00:20:00 0.007 HD28099       14.3       2.21 4.5
188_00.tab      4 00:30:00 0.007 N/A      -999999.9 -999999.9  4.5
1891_01.tab     2 00:30:00 0.007 HD28099       15.7       2.60 4.5
